url_length,n_dots,n_hyphens,n_underline,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_space,n_tilde,n_comma,n_plus,n_asterisk,n_hashtag,n_dollar,n_percent,n_redirection,classification
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
126,4,1,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,suspicious
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
55,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
81,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
104,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
56,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
43,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
83,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
51,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
63,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
66,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
48,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
72,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
68,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
163,4,9,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,suspicious
26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
64,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,suspicious
36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
61,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
66,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
113,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
41,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
84,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,suspicious
98,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,suspicious
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legitimate
65,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,legitimate
